종목코드,현재가
463050,11290.0
001630,37850.0
0082V0,11260.0
001130,11160.0
102460,10140.0
016580,10090.0
0091C0,9410.0
429000,13100.0
002420,6010.0
102260,3690.0
003547,19430.0
466930,23580.0
095570,4110.0
033530,6810.0
530104,183850.0
0093A0,33355.0
500069,183330.0
122090,82430.0
015230,6740.0
003610,5690.0
000140,7860.0
473460,24000.0
494330,32565.0
480020,10185.0
128820,4030.0
261260,5325.0
077500,8310.0
487570,48050.0
213500,7510.0
483290,10225.0
0005G0,51465.0
412570,1224.0
009470,26800.0
332500,73540.0
003220,7850.0
002100,9000.0
007860,7450.0
0040X0,9425.0
461950,4895.0
000300,4200.0
016450,4340.0
0099L0,99490.0
234080,10950.0
0190G0,9065.0
000700,6630.0
002150,5080.0
494220,48790.0
014710,9910.0
025560,6120.0
490600,8845.0
403790,57715.0
241590,2785.0
000520,7760.0
003460,2965.0
472870,6930.0
0064K0,12725.0
491820,45260.0
013890,7510.0
200250,20735.0
337160,48115.0
480030,9735.0
000860,12510.0
237370,15570.0
101530,5530.0
233160,7385.0
460850,5370.0
002170,53500.0
520098,26715.0
488720,48585.0
160580,16370.0
0193G0,8425.0
272560,114910.0
394670,10755.0
004380,7570.0
006805,11640.0
530134,1740.0
090350,7820.0
0180V0,8210.0
0005D0,14765.0
400760,2835.0
0051G0,12525.0
152870,110355.0
001780,1592.0
570051,30720.0
011785,50200.0
00279K,21250.0
000970,6600.0
007570,7880.0
003830,112500.0
462520,12570.0
458210,110780.0
219480,33010.0
354500,13965.0
004090,11660.0
0127M0,12320.0
293480,8250.0
016880,1833.0
271980,9960.0
0153K0,12200.0
530136,14620.0
025820,4360.0
464240,52055.0
0048K0,8085.0
004970,9080.0
272550,9640.0
491610,105010.0
001520,1353.0
0151P0,14635.0
138520,35840.0
001045,64000.0
481180,16810.0
0104H0,11820.0
097955,108300.0
004150,3495.0
500037,70945.0
071840,6010.0
550089,141875.0
245340,34940.0
015890,4825.0
000020,5040.0
438560,100170.0
107590,60400.0
143860,35010.0
498180,92795.0
008350,1083.0
003480,4730.0
0041E0,16230.0
0199C0,9245.0
451530,35090.0
094280,11990.0
001080,3940.0
0131W0,102250.0
700023,137845.0
0092B0,16530.0
139220,8120.0
495330,31805.0
007540,47500.0
520066,22685.0
004080,14540.0
001210,10850.0
003010,10560.0
476030,17165.0
012610,3210.0
457990,34655.0
760007,33310.0
570050,26600.0
081000,9280.0
002210,1364.0
004960,11360.0
0184L0,100525.0
024090,11500.0
014280,4465.0
471760,14145.0
0091M0,10160.0
463680,22640.0
304660,7225.0
0123G0,6310.0
018470,5130.0
009270,1129.0
267290,21950.0
214390,5410.0
461500,104805.0
411420,27025.0
760011,8230.0
006060,2300.0
550092,127115.0
192090,12250.0
0074K0,17010.0
013520,2530.0
325010,43510.0
463290,109405.0
438570,97450.0
078000,13490.0
447620,15980.0
011690,3395.0
350520,3375.0
210540,11200.0
448100,112365.0
089470,3870.0
0000Y0,102000.0
001360,1310.0
002620,7720.0
008970,1187.0
037560,1585.0
214420,5100.0
114820,104770.0
469170,5990.0
570116,61070.0
009070,4070.0
491230,52555.0
005800,13480.0
0191W0,100785.0
377990,24255.0
476450,52860.0
328370,38595.0
570106,47635.0
0209D0,8190.0
319640,25780.0
002390,8600.0
399110,20715.0
014530,3375.0
332940,48965.0
227840,12910.0
015590,2195.0
0168K0,5555.0
034590,26550.0
251340,2440.0
182480,13190.0
367770,22445.0
079430,5740.0
0181B0,9480.0
0000J0,28775.0
092220,2855.0
017550,1837.0
016740,3995.0
37550L,53700.0
016710,7030.0
083420,4700.0
488500,12455.0
0085P0,9715.0
023450,32150.0
002460,11030.0
372330,6665.0
530061,37025.0
309230,30175.0
0135Y0,100200.0
530055,110910.0
008040,7840.0
304940,32520.0
0132K0,7955.0
0162L0,13655.0
0036R0,19610.0
011810,3530.0
266370,68355.0
0080Y0,8535.0
0138Y0,9805.0
012800,1194.0
012320,46000.0
013570,4120.0
326240,43335.0
530107,1797.0
0221V0,100625.0
004100,2930.0
203780,35800.0
012200,3935.0
011280,1512.0
078935,60100.0
006660,13160.0
021820,10680.0
464930,20530.0
0193M0,50375.0
455860,4455.0
496090,32095.0
464310,13575.0
570019,7040.0
168580,33835.0
0174B0,14330.0
009580,1686.0
476850,21905.0
465610,43730.0
120030,83400.0
500050,52330.0
004250,2840.0
014580,3770.0
458030,55110.0
027970,2730.0
010100,3405.0
248170,22600.0
123690,6410.0
0176E0,9755.0
013700,1722.0
035000,6330.0
475050,6925.0
0122W0,51070.0
610037,7260.0
0137V0,11420.0
394660,15465.0
0177X0,9870.0
475280,10735.0
267850,9080.0
119650,918.0
002780,6920.0
002450,1105.0
114100,105775.0
067830,2385.0
0142D0,10465.0
264900,7770.0
008260,3395.0
008700,1253.0
