종목코드,현재가,거래대금,시가,고가,저가,거래량,NXT거래대금
451760,8150.0,652000000.0,8130.0,8570.0,8090.0,78571.0,
265740,7530.0,4057000000.0,7880.0,7960.0,7500.0,524758.0,
321550,4475.0,221000000.0,4620.0,4695.0,4470.0,48705.0,
220100,5980.0,971000000.0,6200.0,6200.0,5950.0,160528.0,277296000.0
232680,10110.0,1752000000.0,10000.0,10480.0,9900.0,172246.0,
140670,10430.0,464000000.0,10600.0,10790.0,10360.0,43684.0,
054920,4745.0,5684000000.0,5040.0,5100.0,4670.0,1160437.0,
146320,10450.0,349000000.0,10500.0,10880.0,10350.0,32914.0,
059120,7300.0,4136000000.0,7220.0,7480.0,7160.0,563311.0,
211270,8820.0,969000000.0,9130.0,9290.0,8590.0,107607.0,
035080,11890.0,328000000.0,12000.0,12000.0,11750.0,27762.0,
136540,10750.0,109000000.0,10820.0,10820.0,10680.0,10122.0,
158430,5380.0,4602000000.0,5670.0,5680.0,5310.0,840549.0,
228850,7890.0,740000000.0,8520.0,8520.0,7780.0,92949.0,
001540,10030.0,144000000.0,9980.0,10050.0,9960.0,14369.0,
417500,3990.0,657000000.0,4050.0,4100.0,3940.0,162599.0,
101360,7350.0,269000000.0,7580.0,7580.0,7330.0,36219.0,230256000.00000003
049720,9130.0,284000000.0,9120.0,9200.0,9040.0,31140.0,
039840,9680.0,555000000.0,9900.0,9900.0,9480.0,57558.0,163186000.0
950190,9960.0,368000000.0,9930.0,10180.0,9720.0,36796.0,
322310,13840.0,1440000000.0,13850.0,14460.0,13730.0,102178.0,
240550,6190.0,2230000000.0,6320.0,6390.0,6130.0,356229.0,
048870,1470.0,244000000.0,1484.0,1494.0,1469.0,165216.0,
264660,13280.0,325000000.0,13450.0,13670.0,13120.0,24413.0,
285490,12190.0,339000000.0,12280.0,12530.0,12170.0,27609.0,
0088M0,13030.0,2352000000.0,12300.0,13500.0,12180.0,179837.0,
282880,10990.0,311000000.0,10990.0,11180.0,10730.0,28502.0,
