종목코드,nxt_price,nxt_volume,nxt_tv
460860,9630.0,225228.0,2210000000.0
036200,11260.0,191303.0,2139000000.0
336370,11440.0,188289.0,2117000000.0
114810,14580.0,142283.0,2116000000.0
086450,18810.0,99181.0,1888000000.0
394800,7020.0,221981.0,1644000000.0
036620,5010.0,310773.0,1571000000.0
086390,14390.0,103987.0,1510000000.0
085660,12090.0,122717.0,1510000000.0
439090,14530.0,100648.0,1487000000.0
108860,9500.0,152956.0,1467000000.0
015750,7030.0,202403.0,1422000000.0
001500,9070.0,129669.0,1194000000.0
441270,7510.0,144355.0,1099000000.0
095500,7240.0,130831.0,990000000.0
020560,7720.0,126367.0,964000000.0
073240,4835.0,167250.0,813000000.0
064550,7720.0,100082.0,779000000.0
025320,4445.0,157494.0,704000000.0
014940,5650.0,113651.0,659000000.0
