종목명,종목코드,현재가,전일비,등락률,거래량,거래대금,시장
넥슨게임즈,225570,10540,,-1.95,135781,1431131740.0,KOSDAQ
서부T&D,006730,10670,,-2.2,574889,6134065630.0,KOSDAQ
가온칩스,399720,58500,,6.56,124036,7256106000.0,KOSDAQ
포스코엠텍,009520,16630,,-1.13,153576,2553968880.0,KOSDAQ
미코,059090,20500,,0.74,606016,12423328000.0,KOSDAQ
안랩,053800,61000,,-1.13,58581,3573441000.0,KOSDAQ
인벤티지랩,389470,50900,,-4.14,101862,5184775800.0,KOSDAQ
에코프로에이치엔,383310,31900,,-1.24,292153,9319680700.0,KOSDAQ
RF머트리얼즈,327260,78600,,-2.6,222189,17464055400.0,KOSDAQ
젬백스,082270,15020,,-5.24,314113,4717977260.0,KOSDAQ
마키나락스,477850,37900,,5.28,2517196,95401728400.0,KOSDAQ
위메이드,112040,19540,,2.84,193484,3780677360.0,KOSDAQ
에프에스티,036810,30500,,-4.84,231518,7061299000.0,KOSDAQ
뉴로메카,348340,53300,,-3.96,313285,16698090500.0,KOSDAQ
코오롱생명과학,102940,49650,,-5.07,51970,2580310500.0,KOSDAQ
코세스,089890,39150,,-3.93,151954,5948999100.0,KOSDAQ
이엔에프테크놀로지,102710,43950,,-4.77,113901,5005948950.0,KOSDAQ
한국피아이엠,448900,102100,,3.13,241627,24670116700.0,KOSDAQ
네오셈,253590,14120,,-8.84,1017514,14367297680.0,KOSDAQ
인바디,041830,45850,,-2.03,59877,2745360450.0,KOSDAQ
동성화인텍,033500,20500,,-3.07,226576,4644808000.0,KOSDAQ
토모큐브,475960,45550,,-0.44,92047,4192740850.0,KOSDAQ
이녹스첨단소재,272290,30300,,-2.73,192130,5821539000.0,KOSDAQ
천보,278280,49250,,1.03,88663,4366652750.0,KOSDAQ
켐트로닉스,089010,35700,,-3.25,245667,8770311900.0,KOSDAQ
와이지-원,019210,15930,,-2.69,409277,6519782610.0,KOSDAQ
성우하이텍,015750,7390,,-1.99,586203,4332040170.0,KOSDAQ
아이쓰리시스템,214430,80800,,-4.38,70191,5671432800.0,KOSDAQ
덕산하이메탈,077360,12990,,-15.7,6441936,83680748640.0,KOSDAQ
디어유,376300,24650,,-1.4,79272,1954054800.0,KOSDAQ
SOOP,067160,50400,,1.92,248057,12502072800.0,KOSDAQ
티에프이,425420,46500,,-8.28,153039,7116313500.0,KOSDAQ
예스티,122640,26600,,-5.0,335057,8912516200.0,KOSDAQ
파이버프로,368770,17310,,-5.92,338777,5864229870.0,KOSDAQ
케이아이엔엑스,093320,114800,,2.5,11108,1275198400.0,KOSDAQ
현대힘스,460930,15760,,-3.13,148479,2340029040.0,KOSDAQ
코미팜,041960,7480,,-2.73,248283,1857156840.0,KOSDAQ
PS일렉트로닉스,332570,11760,,-9.54,5259617,61853095920.0,KOSDAQ
인텍플러스,064290,42100,,4.86,786508,33111986800.0,KOSDAQ
더블유씨피,393890,15980,,-7.42,1310816,20946839680.0,KOSDAQ
원익머트리얼즈,104830,42700,,-3.06,66753,2850353100.0,KOSDAQ
한선엔지니어링,452280,27950,,-0.71,250725,7007763750.0,KOSDAQ
한양이엔지,045100,30600,,-3.32,146709,4489295400.0,KOSDAQ
한라캐스트,125490,14660,,-2.85,975909,14306825940.0,KOSDAQ
에이디테크놀로지,200710,39600,,1.67,276378,10944568800.0,KOSDAQ
서울바이오시스,092190,11520,,-4.24,703954,8109550080.0,KOSDAQ
서희건설,035890,2280,,-14.77,6826295,15563952600.0,KOSDAQ
엠케이전자,033160,21500,,-27.49,2357518,50686637000.0,KOSDAQ
아이센스,099190,17870,,-3.14,81109,1449417830.0,KOSDAQ
우리기술투자,041190,6110,,3.74,1223095,7473110450.0,KOSDAQ
에스비비테크,389500,76800,,-2.17,191196,14683852800.0,KOSDAQ
채비,0011T0,10860,,-6.62,823254,8940538440.0,KOSDAQ
네패스아크,330860,41200,,-7.42,244540,10075048000.0,KOSDAQ
카페24,042000,20750,,4.11,438072,9089994000.0,KOSDAQ
HLB이노베이션,024850,15700,,-4.03,396396,6223417200.0,KOSDAQ
디케이티,290550,24850,,-1.39,482053,11979017050.0,KOSDAQ
에코마케팅,230360,16000,,0.0,51539,824624000.0,KOSDAQ
한글과컴퓨터,030520,20400,,5.7,299060,6100824000.0,KOSDAQ
아난티,025980,5000,,-1.96,1299762,6498810000.0,KOSDAQ
메디포스트,078160,12320,,-5.23,207668,2558469760.0,KOSDAQ
한양디지텍,078350,31550,,-9.6,335692,10591082600.0,KOSDAQ
큐로셀,372320,31550,,0.32,110082,3473087100.0,KOSDAQ
아이엠바이오로직스,493280,32350,,-8.49,98417,3183789950.0,KOSDAQ
한중엔시에스,107640,52800,,-5.71,177415,9367512000.0,KOSDAQ
큐렉소,060280,11530,,-5.65,465708,5369613240.0,KOSDAQ
빛과전자,069540,4820,,-13.93,15247829,73494535780.0,KOSDAQ
아이씨티케이,456010,33650,,7.34,2523710,84922841500.0,KOSDAQ
인카금융서비스,211050,9560,,-3.04,126390,1208288400.0,KOSDAQ
알멕,354320,73200,,-9.18,185438,13574061600.0,KOSDAQ
다날,064260,6160,,0.65,1299414,8004390240.0,KOSDAQ
보성파워텍,006910,9480,,-3.17,1559342,14782562160.0,KOSDAQ
인화정공,101930,10080,,-4.45,40021,403411680.0,KOSDAQ
브이티,018290,13310,,-0.82,148745,1979795950.0,KOSDAQ
한국기업평가,034950,101200,,-0.98,2432,246118400.0,KOSDAQ
시노펙스,025320,4980,,-1.58,669142,3332327160.0,KOSDAQ
이뮨온시아,424870,6150,,-7.1,324661,1996665150.0,KOSDAQ
티앤엘,340570,56100,,-2.43,51503,2889318300.0,KOSDAQ
